Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Job Dropdown Suite,Chrome 110.0.0.0,,,2023-03-06 11:02:22,2023-03-06 11:05:29,3m - 6.346s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Categories/Add Category,Chrome 110.0.0.0,,,2023-03-06 11:02:23,2023-03-06 11:02:56,33.525s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:02:23,2023-03-06 11:02:35,12.453s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:02:36,2023-03-06 11:02:39,2.782s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 110.0.0.0,,,2023-03-06 11:02:39,2023-03-06 11:02:42,2.386s,PASSED
"click(findTestObject(""Admin Page/Job/Job Categories/li_Job Categories""))",Chrome 110.0.0.0,,,2023-03-06 11:02:42,2023-03-06 11:02:44,2.060s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Chrome 110.0.0.0,,,2023-03-06 11:02:44,2023-03-06 11:02:47,2.840s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), job_category)",Chrome 110.0.0.0,,,2023-03-06 11:02:47,2023-03-06 11:02:49,2.253s,PASSED
"takeScreenshotAsCheckpoint(""Category Info"")",Chrome 110.0.0.0,,,2023-03-06 11:02:49,2023-03-06 11:02:51,2.056s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Chrome 110.0.0.0,,,2023-03-06 11:02:51,2023-03-06 11:02:52,1.575s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:02:52,2023-03-06 11:02:53,0.793s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:02:53,2023-03-06 11:02:54,0.583s,PASSED
"takeScreenshotAsCheckpoint(""Category Added"")",Chrome 110.0.0.0,,,2023-03-06 11:02:54,2023-03-06 11:02:55,1.690s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 11:02:55,2023-03-06 11:02:56,0.777s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Categories/Edit Category,Chrome 110.0.0.0,,,2023-03-06 11:02:56,2023-03-06 11:03:27,30.846s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:02:56,2023-03-06 11:03:07,11.069s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:03:08,2023-03-06 11:03:12,4.048s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 110.0.0.0,,,2023-03-06 11:03:12,2023-03-06 11:03:14,2.515s,PASSED
"click(findTestObject(""Admin Page/Job/Job Categories/li_Job Categories""))",Chrome 110.0.0.0,,,2023-03-06 11:03:14,2023-03-06 11:03:16,2.105s,PASSED
