Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Qualifications Dropdown Suite,Chrome 110.0.0.0,,,2023-03-01 17:22:45,2023-03-01 17:29:13,6m - 27.858s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Add Skill,Chrome 110.0.0.0,,,2023-03-01 17:22:45,2023-03-01 17:23:15,29.364s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:22:45,2023-03-01 17:22:51,5.803s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:22:51,2023-03-01 17:22:57,5.997s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:22:58,2023-03-01 17:23:00,2.829s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:23:00,2023-03-01 17:23:03,2.246s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 110.0.0.0,,,2023-03-01 17:23:03,2023-03-01 17:23:05,1.883s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Chrome 110.0.0.0,,,2023-03-01 17:23:05,2023-03-01 17:23:07,2.656s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Assertiveness-Automation"")",Chrome 110.0.0.0,,,2023-03-01 17:23:07,2023-03-01 17:23:09,2.234s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""Everything best"")",Chrome 110.0.0.0,,,2023-03-01 17:23:09,2023-03-01 17:23:11,1.471s,PASSED
"takeScreenshotAsCheckpoint(""Added Skill Info"")",Chrome 110.0.0.0,,,2023-03-01 17:23:11,2023-03-01 17:23:12,1.049s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-01 17:23:12,2023-03-01 17:23:13,1.485s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:23:13,2023-03-01 17:23:14,0.824s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:23:14,2023-03-01 17:23:15,0.366s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:15,2023-03-01 17:23:15,0.018s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Edit Skill,Chrome 110.0.0.0,,,2023-03-01 17:23:15,2023-03-01 17:23:44,29.522s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:15,2023-03-01 17:23:19,4.827s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:19,2023-03-01 17:23:25,5.357s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:23:25,2023-03-01 17:23:28,2.997s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:23:28,2023-03-01 17:23:31,2.245s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 110.0.0.0,,,2023-03-01 17:23:31,2023-03-01 17:23:32,1.854s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Edit""))",Chrome 110.0.0.0,,,2023-03-01 17:23:32,2023-03-01 17:23:35,2.462s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-01 17:23:35,2023-03-01 17:23:37,2.254s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), ""Assertiveness-Automation-Edited"")",Chrome 110.0.0.0,,,2023-03-01 17:23:37,2023-03-01 17:23:39,1.455s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-01 17:23:39,2023-03-01 17:23:40,1.492s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""New description-new skill"")",Chrome 110.0.0.0,,,2023-03-01 17:23:40,2023-03-01 17:23:42,1.488s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-01 17:23:42,2023-03-01 17:23:43,1.411s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:23:43,2023-03-01 17:23:44,0.702s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:23:44,2023-03-01 17:23:44,0.386s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:44,2023-03-01 17:23:44,0.005s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Delete Skill,Chrome 110.0.0.0,,,2023-03-01 17:23:44,2023-03-01 17:24:07,22.846s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:44,2023-03-01 17:23:49,4.860s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:23:49,2023-03-01 17:23:54,5.381s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:23:55,2023-03-01 17:23:58,3.042s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:23:58,2023-03-01 17:24:00,2.296s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 110.0.0.0,,,2023-03-01 17:24:00,2023-03-01 17:24:02,1.821s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Delete""))",Chrome 110.0.0.0,,,2023-03-01 17:24:02,2023-03-01 17:24:04,2.005s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Yes, Delete""))",Chrome 110.0.0.0,,,2023-03-01 17:24:04,2023-03-01 17:24:06,1.563s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:24:06,2023-03-01 17:24:07,0.790s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:24:07,2023-03-01 17:24:07,0.337s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:07,2023-03-01 17:24:07,0.002s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Add Membership,Chrome 110.0.0.0,,,2023-03-01 17:24:07,2023-03-01 17:24:34,27.028s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:07,2023-03-01 17:24:12,5.047s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:12,2023-03-01 17:24:18,5.719s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:24:19,2023-03-01 17:24:21,2.930s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:24:21,2023-03-01 17:24:24,2.177s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Memberships/li_Memberships""))",Chrome 110.0.0.0,,,2023-03-01 17:24:24,2023-03-01 17:24:26,1.999s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Chrome 110.0.0.0,,,2023-03-01 17:24:26,2023-03-01 17:24:28,2.720s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Gold Membership-Automation"")",Chrome 110.0.0.0,,,2023-03-01 17:24:28,2023-03-01 17:24:31,2.247s,PASSED
"takeScreenshotAsCheckpoint(""Membership info"")",Chrome 110.0.0.0,,,2023-03-01 17:24:31,2023-03-01 17:24:32,0.948s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-01 17:24:32,2023-03-01 17:24:33,1.463s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:24:33,2023-03-01 17:24:34,0.686s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:24:34,2023-03-01 17:24:34,0.332s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:34,2023-03-01 17:24:34,0.003s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Edit Membership,Chrome 110.0.0.0,,,2023-03-01 17:24:34,2023-03-01 17:25:02,27.991s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:34,2023-03-01 17:24:39,5.263s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:24:39,2023-03-01 17:24:45,5.509s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:24:46,2023-03-01 17:24:48,2.728s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:24:48,2023-03-01 17:24:51,2.233s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Memberships/li_Memberships""))",Chrome 110.0.0.0,,,2023-03-01 17:24:51,2023-03-01 17:24:53,2.097s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Memberships/button_Edit""))",Chrome 110.0.0.0,,,2023-03-01 17:24:53,2023-03-01 17:24:56,2.834s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Memberships/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-01 17:24:56,2023-03-01 17:24:58,2.491s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), ""Platinum Membership-Automation"")",Chrome 110.0.0.0,,,2023-03-01 17:24:58,2023-03-01 17:25:00,1.455s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-01 17:25:00,2023-03-01 17:25:01,1.407s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:01,2023-03-01 17:25:02,0.692s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:02,2023-03-01 17:25:02,0.382s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:02,2023-03-01 17:25:02,0.002s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Delete Membership,Chrome 110.0.0.0,,,2023-03-01 17:25:02,2023-03-01 17:25:25,23.189s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:02,2023-03-01 17:25:07,5.188s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:07,2023-03-01 17:25:13,5.519s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:25:13,2023-03-01 17:25:16,3.066s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:25:16,2023-03-01 17:25:18,2.245s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Memberships/li_Memberships""))",Chrome 110.0.0.0,,,2023-03-01 17:25:18,2023-03-01 17:25:20,1.901s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Memberships/button_Delete""))",Chrome 110.0.0.0,,,2023-03-01 17:25:20,2023-03-01 17:25:23,2.207s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Yes, Delete""))",Chrome 110.0.0.0,,,2023-03-01 17:25:23,2023-03-01 17:25:24,1.547s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:24,2023-03-01 17:25:25,0.660s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:25,2023-03-01 17:25:25,0.417s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:25,2023-03-01 17:25:25,0.003s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Licenses/Add License,Chrome 110.0.0.0,,,2023-03-01 17:25:25,2023-03-01 17:25:51,25.979s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:25,2023-03-01 17:25:30,5.054s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:30,2023-03-01 17:25:36,5.465s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-01 17:25:36,2023-03-01 17:25:39,2.852s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-01 17:25:39,2023-03-01 17:25:42,2.353s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Licenses/li_Licenses""))",Chrome 110.0.0.0,,,2023-03-01 17:25:42,2023-03-01 17:25:43,1.863s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Chrome 110.0.0.0,,,2023-03-01 17:25:43,2023-03-01 17:25:46,2.523s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Practicioner Beginner-Automation"")",Chrome 110.0.0.0,,,2023-03-01 17:25:46,2023-03-01 17:25:48,2.158s,PASSED
"takeScreenshotAsCheckpoint(""License Info"")",Chrome 110.0.0.0,,,2023-03-01 17:25:48,2023-03-01 17:25:49,0.704s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-01 17:25:49,2023-03-01 17:25:50,1.387s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:50,2023-03-01 17:25:51,0.677s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-01 17:25:51,2023-03-01 17:25:51,0.335s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-01 17:25:51,2023-03-01 17:25:51,0.002s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Licenses/Edit License,Chrome 110.0.0.0,,,2023-03-01 17:25:51,2023-03-01 17:26:18,26.899s,PASSED
