Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Qualifications Dropdown Suite,Firefox 109.0,,,2023-01-26 15:08:20,2023-01-26 15:16:35,8m - 14.747s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Add Skill,Firefox 109.0,,,2023-01-26 15:08:21,2023-01-26 15:09:01,39.892s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:08:22,2023-01-26 15:08:33,10.200s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:08:33,2023-01-26 15:08:33,0.358s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Firefox 109.0,,,2023-01-26 15:08:33,2023-01-26 15:08:39,6.423s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Firefox 109.0,,,2023-01-26 15:08:39,2023-01-26 15:08:43,3.946s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Firefox 109.0,,,2023-01-26 15:08:43,2023-01-26 15:08:46,2.817s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Firefox 109.0,,,2023-01-26 15:08:46,2023-01-26 15:08:49,2.526s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Firefox 109.0,,,2023-01-26 15:08:49,2023-01-26 15:08:52,3.077s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Assertiveness-Automation"")",Firefox 109.0,,,2023-01-26 15:08:52,2023-01-26 15:08:54,2.362s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""Everything best"")",Firefox 109.0,,,2023-01-26 15:08:54,2023-01-26 15:08:56,1.518s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Firefox 109.0,,,2023-01-26 15:08:56,2023-01-26 15:08:58,1.873s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Firefox 109.0,,,2023-01-26 15:08:58,2023-01-26 15:08:59,0.988s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Firefox 109.0,,,2023-01-26 15:08:59,2023-01-26 15:08:59,0.473s,PASSED
closeBrowser(),Firefox 109.0,,,2023-01-26 15:08:59,2023-01-26 15:09:01,1.905s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Edit Skill,Firefox 109.0,,,2023-01-26 15:09:01,2023-01-26 15:09:40,39.045s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:09:02,2023-01-26 15:09:09,6.969s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:09:09,2023-01-26 15:09:09,0.036s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Firefox 109.0,,,2023-01-26 15:09:09,2023-01-26 15:09:16,6.643s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Firefox 109.0,,,2023-01-26 15:09:16,2023-01-26 15:09:20,3.987s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Firefox 109.0,,,2023-01-26 15:09:20,2023-01-26 15:09:23,2.854s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Firefox 109.0,,,2023-01-26 15:09:23,2023-01-26 15:09:25,2.259s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Edit""))",Firefox 109.0,,,2023-01-26 15:09:25,2023-01-26 15:09:28,3.133s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Firefox 109.0,,,2023-01-26 15:09:28,2023-01-26 15:09:31,2.498s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), ""Assertiveness-Automation-Edited"")",Firefox 109.0,,,2023-01-26 15:09:31,2023-01-26 15:09:32,1.508s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), Keys.chord(CONTROL, ""a""))",Firefox 109.0,,,2023-01-26 15:09:32,2023-01-26 15:09:34,1.460s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""New description-new skill"")",Firefox 109.0,,,2023-01-26 15:09:34,2023-01-26 15:09:35,1.590s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Firefox 109.0,,,2023-01-26 15:09:35,2023-01-26 15:09:37,1.694s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Firefox 109.0,,,2023-01-26 15:09:37,2023-01-26 15:09:38,1.092s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Firefox 109.0,,,2023-01-26 15:09:38,2023-01-26 15:09:38,0.441s,PASSED
closeBrowser(),Firefox 109.0,,,2023-01-26 15:09:38,2023-01-26 15:09:40,1.607s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Delete Skill,Firefox 109.0,,,2023-01-26 15:09:40,2023-01-26 15:10:09,29.151s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:09:41,2023-01-26 15:09:47,6.025s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:09:47,2023-01-26 15:09:47,0.034s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Firefox 109.0,,,2023-01-26 15:09:47,2023-01-26 15:09:53,6.149s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Firefox 109.0,,,2023-01-26 15:09:53,2023-01-26 15:09:57,3.551s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Firefox 109.0,,,2023-01-26 15:09:57,2023-01-26 15:10:00,2.607s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Firefox 109.0,,,2023-01-26 15:10:00,2023-01-26 15:10:02,2.316s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Delete""))",Firefox 109.0,,,2023-01-26 15:10:02,2023-01-26 15:10:04,2.575s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Yes, Delete""))",Firefox 109.0,,,2023-01-26 15:10:04,2023-01-26 15:10:06,1.833s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Firefox 109.0,,,2023-01-26 15:10:06,2023-01-26 15:10:07,0.582s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Firefox 109.0,,,2023-01-26 15:10:07,2023-01-26 15:10:07,0.441s,PASSED
closeBrowser(),Firefox 109.0,,,2023-01-26 15:10:07,2023-01-26 15:10:09,1.856s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Add Membership,Firefox 109.0,,,2023-01-26 15:10:09,2023-01-26 15:10:41,31.597s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:10:10,2023-01-26 15:10:16,5.965s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:10:16,2023-01-26 15:10:16,0.304s,PASSED
