Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Job Dropdown Suite,Chrome 110.0.0.0,,,2023-03-03 09:37:59,2023-03-03 09:41:04,3m - 5.290s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Add Job Title,Chrome 110.0.0.0,,,2023-03-03 09:38:00,2023-03-03 09:38:39,38.947s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-03 09:38:00,2023-03-03 09:38:07,6.981s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-03 09:38:07,2023-03-03 09:38:14,7.463s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-03 09:38:15,2023-03-03 09:38:18,2.499s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 110.0.0.0,,,2023-03-03 09:38:18,2023-03-03 09:38:20,2.465s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 110.0.0.0,,,2023-03-03 09:38:20,2023-03-03 09:38:22,2.061s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Chrome 110.0.0.0,,,2023-03-03 09:38:22,2023-03-03 09:38:25,2.886s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), job_title)",Chrome 110.0.0.0,,,2023-03-03 09:38:25,2023-03-03 09:38:28,2.319s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), job_title_description)",Chrome 110.0.0.0,,,2023-03-03 09:38:28,2023-03-03 09:38:29,1.625s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), job_title_notes)",Chrome 110.0.0.0,,,2023-03-03 09:38:29,2023-03-03 09:38:31,1.747s,PASSED
"takeScreenshotAsCheckpoint(""Job Title Info"")",Chrome 110.0.0.0,,,2023-03-03 09:38:31,2023-03-03 09:38:33,2.342s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Chrome 110.0.0.0,,,2023-03-03 09:38:33,2023-03-03 09:38:35,1.814s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-03 09:38:35,2023-03-03 09:38:36,0.741s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-03 09:38:36,2023-03-03 09:38:37,0.634s,PASSED
"takeScreenshotAsCheckpoint(""Job Title Added"")",Chrome 110.0.0.0,,,2023-03-03 09:38:37,2023-03-03 09:38:39,1.997s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-03 09:38:39,2023-03-03 09:38:39,0.038s,ERROR
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Edit Job Title,Chrome 110.0.0.0,,,2023-03-03 09:38:39,2023-03-03 09:39:14,35.634s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-03 09:38:39,2023-03-03 09:38:43,4.789s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-03 09:38:43,2023-03-03 09:38:49,6.050s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-03 09:38:50,2023-03-03 09:38:53,2.721s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 110.0.0.0,,,2023-03-03 09:38:53,2023-03-03 09:38:56,2.470s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 110.0.0.0,,,2023-03-03 09:38:56,2023-03-03 09:38:58,2.144s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/button_Edit""))",Chrome 110.0.0.0,,,2023-03-03 09:38:58,2023-03-03 09:39:01,2.870s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-03 09:39:01,2023-03-03 09:39:03,2.352s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), edited_job_title)",Chrome 110.0.0.0,,,2023-03-03 09:39:03,2023-03-03 09:39:05,1.657s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-03 09:39:05,2023-03-03 09:39:06,1.603s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), edited_job_title_description)",Chrome 110.0.0.0,,,2023-03-03 09:39:06,2023-03-03 09:39:08,1.643s,PASSED
