Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home Page Suite,Chrome 110.0.0.0,,,2023-03-06 12:52:39,2023-03-06 12:54:11,1m - 32.815s,ERROR
,,,,,,,
Test Cases/Home Page/Sidebar Minimize Functionality,Chrome 110.0.0.0,,,2023-03-06 12:53:29,2023-03-06 12:54:11,42.454s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 12:53:29,2023-03-06 12:53:37,7.556s,ERROR
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-06 12:53:37,2023-03-06 12:54:11,34.855s,ERROR
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 12:54:11,2023-03-06 12:54:11,0.007s,ERROR
