Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Qualifications Dropdown Suite,Chrome 109.0.0.0,,,2023-01-26 13:51:02,2023-01-26 13:59:17,8m - 14.381s,FAILED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Add Skill,Chrome 109.0.0.0,,,2023-01-26 13:51:03,2023-01-26 13:51:43,39.152s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-01-26 13:51:05,2023-01-26 13:51:14,9.614s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-01-26 13:51:14,2023-01-26 13:51:15,0.241s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Chrome 109.0.0.0,,,2023-01-26 13:51:15,2023-01-26 13:51:21,6.714s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-01-26 13:51:21,2023-01-26 13:51:26,4.315s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 109.0.0.0,,,2023-01-26 13:51:26,2023-01-26 13:51:28,2.771s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 109.0.0.0,,,2023-01-26 13:51:28,2023-01-26 13:51:31,2.411s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Chrome 109.0.0.0,,,2023-01-26 13:51:31,2023-01-26 13:51:34,2.942s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Assertiveness-Automation"")",Chrome 109.0.0.0,,,2023-01-26 13:51:34,2023-01-26 13:51:36,2.384s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""Everything best"")",Chrome 109.0.0.0,,,2023-01-26 13:51:36,2023-01-26 13:51:39,2.538s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 109.0.0.0,,,2023-01-26 13:51:39,2023-01-26 13:51:40,1.603s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-01-26 13:51:40,2023-01-26 13:51:41,0.776s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-01-26 13:51:41,2023-01-26 13:51:42,0.633s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-26 13:51:42,2023-01-26 13:51:43,0.831s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Edit Skill,Chrome 109.0.0.0,,,2023-01-26 13:51:43,2023-01-26 13:52:18,35.302s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-01-26 13:51:44,2023-01-26 13:51:48,4.714s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-01-26 13:51:48,2023-01-26 13:51:48,0.159s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Chrome 109.0.0.0,,,2023-01-26 13:51:48,2023-01-26 13:51:55,6.083s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-01-26 13:51:55,2023-01-26 13:51:58,3.727s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 109.0.0.0,,,2023-01-26 13:51:58,2023-01-26 13:52:01,2.655s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 109.0.0.0,,,2023-01-26 13:52:01,2023-01-26 13:52:03,2.275s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Edit""))",Chrome 109.0.0.0,,,2023-01-26 13:52:03,2023-01-26 13:52:06,2.651s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-01-26 13:52:06,2023-01-26 13:52:08,2.295s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), ""Assertiveness-Automation-Edited"")",Chrome 109.0.0.0,,,2023-01-26 13:52:08,2023-01-26 13:52:10,1.756s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-01-26 13:52:10,2023-01-26 13:52:12,1.723s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textarea_Description""), ""New description-new skill"")",Chrome 109.0.0.0,,,2023-01-26 13:52:12,2023-01-26 13:52:14,1.876s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 109.0.0.0,,,2023-01-26 13:52:14,2023-01-26 13:52:15,1.744s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 109.0.0.0,,,2023-01-26 13:52:15,2023-01-26 13:52:16,1.110s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 109.0.0.0,,,2023-01-26 13:52:16,2023-01-26 13:52:17,0.566s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-26 13:52:17,2023-01-26 13:52:18,0.924s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Delete Skill,Chrome 109.0.0.0,,,2023-01-26 13:52:18,2023-01-26 13:52:52,33.870s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-01-26 13:52:19,2023-01-26 13:52:31,11.769s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-01-26 13:52:31,2023-01-26 13:52:31,0.164s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Chrome 109.0.0.0,,,2023-01-26 13:52:31,2023-01-26 13:52:37,6.217s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-01-26 13:52:37,2023-01-26 13:52:40,3.262s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 109.0.0.0,,,2023-01-26 13:52:40,2023-01-26 13:52:43,2.477s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/li_Skills""))",Chrome 109.0.0.0,,,2023-01-26 13:52:43,2023-01-26 13:52:46,2.694s,PASSED
