Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home Page Suite,Chrome 110.0.0.0,,,2023-03-03 11:06:11,2023-03-03 11:07:06,54.488s,PASSED
,,,,,,,
Test Cases/Home Page/Search Functionality,Chrome 110.0.0.0,,,2023-03-03 11:06:12,2023-03-03 11:06:39,26.957s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-03 11:06:12,2023-03-03 11:06:17,5.417s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-03 11:06:17,2023-03-03 11:06:23,5.759s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-03 11:06:23,2023-03-03 11:06:26,2.448s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-03 11:06:26,2023-03-03 11:06:28,2.183s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-03 11:06:28,2023-03-03 11:06:29,1.172s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""Directory"")",Chrome 110.0.0.0,,,2023-03-03 11:06:29,2023-03-03 11:06:30,1.481s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-03 11:06:30,2023-03-03 11:06:32,1.994s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""Directory"")",Chrome 110.0.0.0,,,2023-03-03 11:06:32,2023-03-03 11:06:33,1.074s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""PIM"")",Chrome 110.0.0.0,,,2023-03-03 11:06:33,2023-03-03 11:06:35,1.451s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-03 11:06:35,2023-03-03 11:06:37,2.137s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""PIM"")",Chrome 110.0.0.0,,,2023-03-03 11:06:37,2023-03-03 11:06:39,1.501s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-03 11:06:39,2023-03-03 11:06:39,0.023s,ERROR
,,,,,,,
Test Cases/Home Page/Sidebar Minimize Functionality,Chrome 110.0.0.0,,,2023-03-03 11:06:39,2023-03-03 11:07:06,27.281s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-03 11:06:39,2023-03-03 11:06:43,4.605s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-03 11:06:43,2023-03-03 11:06:49,5.401s,PASSED
"verifyElementInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-03 11:06:49,2023-03-03 11:06:50,1.595s,PASSED
"click(findTestObject(""Navigation Sidebar/button_minimize""))",Chrome 110.0.0.0,,,2023-03-03 11:06:50,2023-03-03 11:06:52,1.418s,PASSED
"verifyElementNotInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-03 11:06:52,2023-03-03 11:07:04,12.042s,PASSED
"click(findTestObject(""Navigation Sidebar/button_maximize""))",Chrome 110.0.0.0,,,2023-03-03 11:07:04,2023-03-03 11:07:05,1.489s,PASSED
"verifyElementInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-03 11:07:05,2023-03-03 11:07:06,0.481s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-03 11:07:06,2023-03-03 11:07:06,0.004s,ERROR
