Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Qualifications Dropdown Suite,Chrome 110.0.0.0,,,2023-03-06 11:05:47,2023-03-06 11:13:35,7m - 48.267s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Education/Add Education,Chrome 110.0.0.0,,,2023-03-06 11:05:47,2023-03-06 11:06:20,32.595s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:05:47,2023-03-06 11:06:00,12.795s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:06:02,2023-03-06 11:06:04,2.611s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-06 11:06:04,2023-03-06 11:06:07,2.448s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Education/li_Education""))",Chrome 110.0.0.0,,,2023-03-06 11:06:07,2023-03-06 11:06:09,2.251s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Add""))",Chrome 110.0.0.0,,,2023-03-06 11:06:09,2023-03-06 11:06:12,2.914s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), education)",Chrome 110.0.0.0,,,2023-03-06 11:06:12,2023-03-06 11:06:14,2.366s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-06 11:06:14,2023-03-06 11:06:16,1.640s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:06:16,2023-03-06 11:06:17,0.719s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:06:17,2023-03-06 11:06:17,0.570s,PASSED
"takeScreenshotAsCheckpoint(""Added Education"")",Chrome 110.0.0.0,,,2023-03-06 11:06:17,2023-03-06 11:06:19,2.206s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 11:06:19,2023-03-06 11:06:20,0.777s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Education/Edit Education,Chrome 110.0.0.0,,,2023-03-06 11:06:20,2023-03-06 11:06:49,29.209s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:06:20,2023-03-06 11:06:30,9.821s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:06:31,2023-03-06 11:06:34,3.281s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-06 11:06:34,2023-03-06 11:06:36,2.503s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Education/li_Education""))",Chrome 110.0.0.0,,,2023-03-06 11:06:36,2023-03-06 11:06:38,2.068s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Education/button_Edit""))",Chrome 110.0.0.0,,,2023-03-06 11:06:38,2023-03-06 11:06:41,3.027s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 110.0.0.0,,,2023-03-06 11:06:41,2023-03-06 11:06:44,2.484s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), education_edited)",Chrome 110.0.0.0,,,2023-03-06 11:06:44,2023-03-06 11:06:46,1.655s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 110.0.0.0,,,2023-03-06 11:06:46,2023-03-06 11:06:47,1.621s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:06:47,2023-03-06 11:06:48,0.762s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:06:48,2023-03-06 11:06:48,0.525s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 11:06:48,2023-03-06 11:06:49,0.844s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Education/Delete Education,Chrome 110.0.0.0,,,2023-03-06 11:06:49,2023-03-06 11:07:15,25.630s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:06:49,2023-03-06 11:07:00,10.756s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:07:01,2023-03-06 11:07:04,2.702s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-06 11:07:04,2023-03-06 11:07:07,2.427s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Education/li_Education""))",Chrome 110.0.0.0,,,2023-03-06 11:07:07,2023-03-06 11:07:09,2.174s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Education/button_Delete""))",Chrome 110.0.0.0,,,2023-03-06 11:07:09,2023-03-06 11:07:11,2.367s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Yes, Delete""))",Chrome 110.0.0.0,,,2023-03-06 11:07:11,2023-03-06 11:07:13,1.661s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:07:13,2023-03-06 11:07:14,0.776s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:07:14,2023-03-06 11:07:14,0.528s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 11:07:14,2023-03-06 11:07:15,0.851s,PASSED
,,,,,,,
Test Cases/Admin Page/Qualifications/Languages/Add Language,Chrome 110.0.0.0,,,2023-03-06 11:07:15,2023-03-06 11:07:46,30.880s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:07:15,2023-03-06 11:07:25,10.410s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:07:27,2023-03-06 11:07:29,2.538s,PASSED
"click(findTestObject(""Admin Page/Qualifications/li_Qualifications""))",Chrome 110.0.0.0,,,2023-03-06 11:07:29,2023-03-06 11:07:32,2.486s,PASSED
