Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Job Dropdown Suite,Chrome 110.0.0.0,,,2023-03-06 11:29:25,2023-03-06 11:32:30,3m - 4.746s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Add Job Title,Chrome 110.0.0.0,,,2023-03-06 11:29:26,2023-03-06 11:30:04,38.602s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 11:29:26,2023-03-06 11:29:32,6.733s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-06 11:29:32,2023-03-06 11:29:40,7.652s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 110.0.0.0,,,2023-03-06 11:29:41,2023-03-06 11:29:44,2.484s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 110.0.0.0,,,2023-03-06 11:29:44,2023-03-06 11:29:46,2.504s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 110.0.0.0,,,2023-03-06 11:29:46,2023-03-06 11:29:49,2.157s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Chrome 110.0.0.0,,,2023-03-06 11:29:49,2023-03-06 11:29:52,3.065s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), job_title)",Chrome 110.0.0.0,,,2023-03-06 11:29:52,2023-03-06 11:29:54,2.244s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), job_title_description)",Chrome 110.0.0.0,,,2023-03-06 11:29:54,2023-03-06 11:29:56,1.695s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), job_title_notes)",Chrome 110.0.0.0,,,2023-03-06 11:29:56,2023-03-06 11:29:57,1.772s,PASSED
"takeScreenshotAsCheckpoint(""Job Title Info"")",Chrome 110.0.0.0,,,2023-03-06 11:29:57,2023-03-06 11:30:00,2.186s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Chrome 110.0.0.0,,,2023-03-06 11:30:00,2023-03-06 11:30:01,1.706s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:30:01,2023-03-06 11:30:02,0.710s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 110.0.0.0,,,2023-03-06 11:30:02,2023-03-06 11:30:03,0.596s,PASSED
"takeScreenshotAsCheckpoint(""Job Title Added"")",Chrome 110.0.0.0,,,2023-03-06 11:30:03,2023-03-06 11:30:04,1.692s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 11:30:04,2023-03-06 11:30:04,0.042s,ERROR
,,,,,,,
