Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Qualifications Dropdown Suite,Chrome 109.0.0.0,,,2023-02-06 19:33:00,2023-02-06 19:36:56,3m - 56.839s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Add Skill,Chrome 109.0.0.0,,,2023-02-06 19:33:00,2023-02-06 19:33:09,8.720s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:00,2023-02-06 19:33:06,5.924s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:06,2023-02-06 19:33:07,0.365s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:07,2023-02-06 19:33:09,2.020s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Edit Skill,Chrome 109.0.0.0,,,2023-02-06 19:33:09,2023-02-06 19:33:17,8.095s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:10,2023-02-06 19:33:15,5.096s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:15,2023-02-06 19:33:15,0.145s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:15,2023-02-06 19:33:17,1.701s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Skills/Delete Skill,Chrome 109.0.0.0,,,2023-02-06 19:33:17,2023-02-06 19:33:25,8.434s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:17,2023-02-06 19:33:23,5.959s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:23,2023-02-06 19:33:23,0.139s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:23,2023-02-06 19:33:25,1.961s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Add Membership,Chrome 109.0.0.0,,,2023-02-06 19:33:25,2023-02-06 19:33:32,6.698s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:26,2023-02-06 19:33:30,4.428s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:30,2023-02-06 19:33:30,0.142s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:30,2023-02-06 19:33:32,1.750s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Edit Membership,Chrome 109.0.0.0,,,2023-02-06 19:33:32,2023-02-06 19:33:40,7.794s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:32,2023-02-06 19:33:38,5.313s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:38,2023-02-06 19:33:38,0.145s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:38,2023-02-06 19:33:40,1.929s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Memberships/Delete Membership,Chrome 109.0.0.0,,,2023-02-06 19:33:40,2023-02-06 19:33:46,6.676s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:40,2023-02-06 19:33:45,4.498s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:45,2023-02-06 19:33:45,0.167s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:45,2023-02-06 19:33:46,1.664s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Licenses/Add License,Chrome 109.0.0.0,,,2023-02-06 19:33:46,2023-02-06 19:33:53,6.466s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:47,2023-02-06 19:33:51,4.295s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:51,2023-02-06 19:33:51,0.150s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:51,2023-02-06 19:33:53,1.724s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Licenses/Edit License,Chrome 109.0.0.0,,,2023-02-06 19:33:53,2023-02-06 19:34:00,6.692s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:33:53,2023-02-06 19:33:58,4.453s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:33:58,2023-02-06 19:33:58,0.149s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:33:58,2023-02-06 19:34:00,1.689s,ERROR
,,,,,,,
Test Cases/Admin Page/Qualifications/Licenses/Delete License,Chrome 109.0.0.0,,,2023-02-06 19:34:00,2023-02-06 19:34:06,6.797s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:34:00,2023-02-06 19:34:04,4.606s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:34:04,2023-02-06 19:34:05,0.148s,PASSED
