Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Job Dropdown Suite,Firefox 109.0,,,2023-01-26 15:07:59,2023-01-26 15:11:32,3m - 32.774s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Add Job Title,Firefox 109.0,,,2023-01-26 15:08:00,2023-01-26 15:08:40,39.898s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:08:02,2023-01-26 15:08:12,10.419s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:08:12,2023-01-26 15:08:13,0.349s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Firefox 109.0,,,2023-01-26 15:08:13,2023-01-26 15:08:19,6.352s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Firefox 109.0,,,2023-01-26 15:08:19,2023-01-26 15:08:23,3.701s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Firefox 109.0,,,2023-01-26 15:08:23,2023-01-26 15:08:25,2.756s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Firefox 109.0,,,2023-01-26 15:08:25,2023-01-26 15:08:28,2.299s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Firefox 109.0,,,2023-01-26 15:08:28,2023-01-26 15:08:30,2.642s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), ""Boss-Automation"")",Firefox 109.0,,,2023-01-26 15:08:30,2023-01-26 15:08:32,2.165s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), ""Big Boss "")",Firefox 109.0,,,2023-01-26 15:08:32,2023-01-26 15:08:34,1.618s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), ""No notes available"")",Firefox 109.0,,,2023-01-26 15:08:34,2023-01-26 15:08:36,1.574s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Firefox 109.0,,,2023-01-26 15:08:36,2023-01-26 15:08:37,1.740s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Firefox 109.0,,,2023-01-26 15:08:37,2023-01-26 15:08:38,0.537s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Firefox 109.0,,,2023-01-26 15:08:38,2023-01-26 15:08:38,0.410s,PASSED
closeBrowser(),Firefox 109.0,,,2023-01-26 15:08:38,2023-01-26 15:08:40,1.719s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Edit Job Title,Firefox 109.0,,,2023-01-26 15:08:40,2023-01-26 15:09:22,42.259s,PASSED
openBrowser(baseURL),Firefox 109.0,,,2023-01-26 15:08:41,2023-01-26 15:08:48,7.120s,PASSED
maximizeWindow(),Firefox 109.0,,,2023-01-26 15:08:48,2023-01-26 15:08:49,0.291s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Papge/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Papge/button_Login""))",Firefox 109.0,,,2023-01-26 15:08:49,2023-01-26 15:08:55,6.540s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Firefox 109.0,,,2023-01-26 15:08:55,2023-01-26 15:08:59,3.739s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Firefox 109.0,,,2023-01-26 15:08:59,2023-01-26 15:09:02,2.927s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Firefox 109.0,,,2023-01-26 15:09:02,2023-01-26 15:09:04,2.360s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/button_Edit""))",Firefox 109.0,,,2023-01-26 15:09:04,2023-01-26 15:09:07,2.852s,PASSED
